Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Actinic (Solar) Dermatitis,Dog,Not Known,"Pimply and red skin, patchy hair loss, thickening of the skin, skin cancer","Pit bull terrier, greyhound, pointer, Dalmatian, etc.","Excessive sun exposure, sparse fur on the tummy, short white fur",Not Known,"UVB light induces inflammatory response, damages immune cells, induces mutations in skin cells' DNA","Reduce sun exposure, antibiotics, topical steroids, Vitamin A, Pentoxifylline",Not Known,Not Known,Not Known,"Keep pet indoors during peak sunlight hours, avoid white concrete, use sunscreen, protective clothing",Varies depending on severity and response to treatment,
Acute Hemorrhagic Diarrhea Syndrome (AHDS or HGE),Dog,Not Known,"Bloody, watery diarrhea; vomiting (often with blood); dehydration; shock",Smaller Dog breeds; stress; hyperactivity,Not Known,Presence of symptoms; packed cell volume (PCV) measurement,Infection from Clostridium perfringens Type A; production of toxins NET E and NET F,Aggressive fluid replacement; medication for nausea and pain control; low-fat diet; antibiotics (controversial); probiotics,Not Known,Not Known,Not Known,Keep patient out of shock; monitor improvement; gradual return to normal stool,Varies depending on severity and response to treatment,
Addison's Disease (Hypoadrenocorticism),Dog,"None directly related, but differential diagnoses may include kidney disease, insulin-secreting pancreatic tumors, megaesophagus, and whipworm infection","Vague signs initially (listlessness, vomiting, diarrhea), waxing and waning symptoms, potentially leading to Addisonian crisis (shock, low blood sugar, electrolyte imbalances, arrhythmias), may mimic other conditions like kidney disease, low blood sugar disorder, or gastrointestinal issues","Standard poodle, bearded collie, Nova Scotia Duck Tolling Retriever, Portuguese water Dog; though it can affect any breed","Genetic predisposition, female Dogs are affected twice as often as males, young to middle-aged Dogs are commonly affected","Combination of clinical signs, blood tests (including electrolyte levels, ACTH stimulation test), imaging (radiography, ultrasound), ruling out other potential causes of symptoms",Deficiency in corticosteroid hormones due to damage to the adrenal glands or certain drugs,"Replace missing mineralocorticoid hormones, provide supportive care to manage symptoms and prevent Addisonian crisis","Oral fludrocortisone (Florinef®) to replace mineralocorticoids, glucocorticoid supplementation (e.g., prednisone) may be needed in some cases, fluid therapy, electrolyte monitoring, dietary management",Not typically applicable for Addison's disease,"Variable, depending on the severity of symptoms, response to treatment, and need for monitoring electrolyte levels; may range from outpatient visits to hospitalization for stabilization and treatment","Early detection and treatment of symptoms, regular veterinary check-ups, monitoring for signs of electrolyte imbalances or adrenal insufficiency, avoiding stressors that may trigger an Addisonian crisis","With appropriate management, prognosis is generally good; however, lifelong medication and monitoring are usually required, and some cases may require adjustments to treatment over time. Addisonian crises can be life-threatening if not promptly treated.",
Adrenal Tumor in Cushing's Syndrome,Dog,"Cushing's syndrome, metastatic disease (if tumor is malignant)","Symptoms of Cushing's syndrome (increased thirst, urination, appetite, panting, lethargy, pot-bellied appearance, thin skin, hair loss, etc.), potentially abdominal pain, weight loss, or other symptoms depending on tumor size and invasiveness",No specific breed predisposition,"Presence of clinical signs of Cushing's syndrome, evidence of adrenal tumor on imaging studies, larger tumors may have a higher risk of complications during surgery","Blood testing (including adrenal function tests), imaging studies (ultrasound, CT scan, MRI) to visualize adrenal gland and tumor, ruling out other causes of Cushing's syndrome",Adrenal tumor leading to excessive production of cortisol or other adrenal hormones,Surgical removal of tumor (adrenalectomy) or medical management to control symptoms and slow tumor growth,"Lysodren (mitotane) to decrease cortisol production, trilostane to manage symptoms by inhibiting cortisol production, hypofractionated stereotactic radiotherapy (if available)","Adrenalectomy (removal of adrenal gland and tumor), may be performed via open surgery or laparoscopic surgery depending on the case","Variable, depending on the type of surgery performed, any complications, and the patient's recovery; typically several days to a week","Regular veterinary check-ups, early detection and treatment of Cushing's syndrome, monitoring for recurrence or metastasis","Prognosis varies depending on tumor type (benign vs. malignant), size, invasiveness, presence of metastasis, and response to treatment. Surgical removal offers the potential for cure in cases of benign tumors, but there are risks associated with surgery. Medical management can provide symptom control and may prolong survival, but it is not curative. Hypofractionated stereotactic radiotherapy shows promising results but may not be readily available. Regular monitoring and follow-up are important for assessing response to treatment and managing any complications.",
Allergic Conjunctivitis,Dogs and cats,"Atopic dermatitis, allergic rhinitis","Redness and swelling of the conjunctiva, cloudy, yellow, or greenish discharge from the eyes, excessive blinking or squinting, itching, hair loss around the eyes, discharge from the nose, sneezing, coughing","No specific breed predisposition, but breeds predisposed to atopic dermatitis may be more prone to allergic conjunctivitis","Exposure to allergens such as pollen, dust, molds, food allergies","Clinical signs, examination of the eye, fluorescein stain to check for corneal ulcers, ruling out other causes of conjunctivitis","Allergic reaction to environmental allergens, food allergies, atopy","Topical corticosteroids (eyedrops or ointments containing dexamethasone or hydrocortisone), oral corticosteroids, antihistamines, topical mast cell stabilizers, saline eye wash to clean the eyes, Elizabethan collar to prevent scratching, allergen testing if severe allergies are suspected","Topical corticosteroids, oral corticosteroids, antihistamines, topical mast cell stabilizers",Not Known,"Outpatient treatment, may require periodic rechecks","Identify and remove allergens from the environment if possible, minimize household dust, use air purifiers, consider allergen testing or food trials to identify specific allergens, manage allergic skin conditions if present","Allergic conjunctivitis may not be curable, but it can be managed effectively with treatment. Prognosis depends on the severity of the condition, response to treatment, and ability to identify and minimize exposure to allergens. Regular monitoring and management are important for long-term comfort and eye health.",
Alopecia X,Dog,Not Known,"Pattern of baldness, coat loss on main body, darkly pigmented skin in bald areas, typically sparing legs and head","Spitz or Nordic breeds (e.g., American Eskimo, Chow Chow, Pomeranian, Alaskan Malamute, Elkhound, Poodle)",Not Known,"Skin biopsy, blood panel, urinalysis, thyroid and adrenal hormone testing",Unknown,"Cosmetic concern only, no downside to the Dog except for appearance","Sterilization, melatonin supplementation, micro-needling, deslorelin implants, medroxyprogesterone acetate, trilostane",Not Known,Not Applicable,Not Known,"Variable, frustrating condition with partial responses to treatment",
Anal Gland Abscess,Dogs and Cats,Not Known,"Scooting across the floor, Trauma and biting of the tail and anal area, Matting of the hair at the anal area, Reluctance to sit and to poop, Constipation and anal discharge, Crying, whimpering, or signs of pain, Being withdrawn and lethargic, not wanting to eat, Swelling and redness of the anal area",Not Known,"Underlying diseases, allergies","Clinical signs, physical examination",Infection of the anal glands,"Cleaning and unclogging of the anal duct, anti-inflammatory medications, antibiotics, recheck by the veterinarian","Anti-inflammatory medications, antibiotics",Surgical removal of the anal glands (in severe cases),Not Known,"High fiber diets, hypoallergenic diets, surgical removal of anal sacs (in severe or recurrent cases)","Good with prompt treatment; surgery may be considered for chronic cases, but may lead to incontinence.",
Anal Sac Impaction,Dogs and Cats,"Scooting, licking, discomfort, abscess formation",N/A,Repeated pressure on sacs,"Examination, palpation","Inability to empty anal sacs due to various reasons, leading to impaction and discomfort",External or internal expression of anal sacs; dietary changes; fiber supplements; anal sacculectomy in severe cases,Antibiotics if abscessed,"Surgical removal of anal sacs in severe, chronic cases",Varies depending on severity,Regular expression; dietary changes,Favorable with appropriate management and treatment,,
Anal Sac Tumors in Dogs,Dogs,Not Known,"Straining or difficulty defecating, ribbon-like stool, swollen back legs, increased drinking and urination, decreased appetite, vomiting, weakness, lethargy, swelling at the rear end, excessive licking of the rear end, bleeding around the anus, bloody stool, scooting","Older Dogs, certain breeds such as spaniels, German Shepherds, dachshunds",Not Known,"Physical examination, rectal exam, fine needle aspiration, blood and urine tests, chest x-rays, abdominal ultrasound","Unknown, possibly genetic and environmental factors","Stool softeners, fluids, medications to lower blood calcium","Chemotherapy, radiation therapy (if surgery isn't possible)",Surgical removal of the mass and any enlarged lymph nodes,Not Known,Routine rectal exams for early detection,"Variable, average survival time of 1-2 years; depends on factors such as tumor size, spread, blood calcium levels, and type of treatment; generally better prognosis with surgery or treatment",
Anaplasmosis,Dogs,"Ehrlichia, Borrelia, etc.","Vague signs such as lethargy, lack of appetite, fever, lameness, vomiting, diarrhea, coughing, difficulty breathing, bruising on gums and stomach, nosebleeds, weight loss","Golden Retrievers, Labrador Retrievers",Exposure to tick vectors,"Blood tests (complete blood count, blood smear evaluation, biochemistry panel, serology, PCR assays), urinalysis, radiographs, joint fluid analysis","Anaplasma phagocytophilum (granulocytic anaplasmosis), Anaplasma platys (infectious cyclic thrombocytopenia)","Antibiotics (doxycycline, tetracycline, minocycline), pain relievers, anti-inflammatory drugs","Doxycycline, tetracycline, minocycline",Not applicable,Not Known,"Tick control, prompt removal of ticks, screening for other tick-borne diseases",Generally good with proper treatment,
